[1, 578, 108, 337, 108, 317, 114]
[2, 204, 388, 514, 29, 179, 50]
[3, 139, 292, 205, 357, 597, 432]
[4, 435, 729, 743, 480, 435, 351]
[5, 699, 55, 397, 199, 520, 189]
[6, 459, 112, 331, 708, 405, 66]
[7, 219, 24, 27, 195, 139, 639]
[8, 389, 341, 279, 23, 713, 322]
[9, 476, 557, 138, 270, 121, 737]
[10, 534, 9, 476, 296, 504, 682]
[11, 520, 180, 524, 592, 60, 364]
[12, 363, 665, 31, 411, 322, 8]
[13, 654, 190, 154, 604, 787, 735]
[14, 480, 265, 444, 350, 243, 423]
[15, 18, 325, 780, 17, 689, 700]
[16, 347, 409, 19, 495, 224, 48]
[17, 55, 397, 5, 689, 15, 397]
[18, 315, 15, 780, 465, 178, 603]
[19, 708, 409, 149, 155, 64, 596]
[20, 353, 511, 518, 516, 683, 525]
[21, 262, 334, 343, 498, 539, 271]
[22, 256, 738, 732, 212, 576, 215]
[23, 703, 436, 667, 713, 8, 322]
[24, 219, 31, 7, 355, 191, 702]
[25, 641, 571, 582, 48, 224, 599]
[26, 89, 99, 308, 414, 239, 505]
[27, 540, 182, 531, 421, 91, 47]
[28, 244, 426, 320, 365, 507, 393]
[29, 500, 38, 36, 2, 179, 132]
[30, 627, 393, 446, 666, 241, 751]
[31, 219, 24, 182, 328, 529, 188]
[32, 685, 341, 410, 113, 591, 80]
[33, 728, 129, 592, 136, 326, 473]
[34, 261, 313, 183, 58, 97, 375]
[35, 547, 577, 722, 366, 578, 100]
[36, 38, 500, 29, 777, 90, 388]
[37, 45, 76, 543, 775, 279, 613]
[38, 29, 500, 36, 399, 132, 324]
[39, 377, 362, 702, 667, 443, 115]
[40, 595, 449, 584, 211, 595, 771]
[41, 384, 800, 806, 510, 151, 659]
[42, 462, 286, 556, 560, 390, 412]
[43, 79, 794, 666, 202, 728, 674]
[44, 637, 120, 245, 549, 71, 535]
[45, 37, 76, 543, 76, 294, 569]
[46, 97, 669, 794, 688, 621, 375]
[47, 712, 760, 463, 27, 421, 91]
[48, 275, 238, 538, 25, 224, 599]
[49, 190, 661, 430, 246, 190, 125]
[50, 51, 140, 536, 179, 362, 293]
[51, 50, 140, 536, 80, 476, 460]
[52, 229, 215, 694, 778, 654, 502]
[53, 545, 214, 390, 229, 376, 277]
[54, 296, 463, 314, 499, 207, 272]
[55, 5, 699, 397, 644, 198, 318]
[56, 185, 657, 150, 522, 741, 415]
[57, 513, 316, 326, 326, 519, 33]
[58, 83, 580, 225, 34, 375, 621]
[59, 307, 295, 518, 363, 436, 119]
[60, 248, 602, 134, 789, 466, 551]
[61, 515, 791, 267, 753, 449, 634]
[62, 709, 331, 459, 338, 433, 736]
[63, 187, 756, 253, 333, 657, 692]
[64, 546, 653, 159, 19, 155, 596]
[65, 697, 332, 631, 434, 394, 647]
[66, 451, 785, 105, 770, 6, 708]
[67, 668, 245, 347, 79, 209, 627]
[68, 256, 22, 738, 263, 95, 788]
[69, 424, 564, 391, 720, 150, 439]
[70, 135, 78, 224, 163, 406, 345]
[71, 133, 550, 728, 549, 44, 535]
